mass,r_br_yy_bb,exp_limit,obs_limit
251,0.0000,0.335841,0.647312
251,0.0001,0.335259,0.659605
251,0.0002,0.333615,0.667552
251,0.0003,0.331083,0.671917
251,0.0004,0.327824,0.673228
251,0.0005,0.323983,0.672047
251,0.0006,0.319685,0.668637
251,0.0007,0.315043,0.660922
251,0.0008,0.310115,0.658313
251,0.0009,0.305020,0.648703
251,0.0010,0.299784,0.640430
251,0.0011,0.294485,0.632662
251,0.0012,0.289134,0.625414
251,0.0013,0.283778,0.615752
251,0.0014,0.278444,0.607708
251,0.0015,0.273155,0.601702
251,0.0016,0.267927,0.590071
251,0.0017,0.262773,0.585502
251,0.0018,0.257706,0.576734
251,0.0019,0.252733,0.568007
251,0.0020,0.247860,0.559340
251,0.0021,0.243094,0.548250
251,0.0022,0.238435,0.539833
251,0.0023,0.233715,0.531456
251,0.0024,0.229262,0.525562
251,0.0025,0.224918,0.514748
251,0.0026,0.220686,0.506867
251,0.0027,0.216562,0.498989
251,0.0028,0.212547,0.493441
251,0.0029,0.208642,0.483704
251,0.0030,0.204838,0.476220
251,0.0031,0.201137,0.470786
251,0.0032,0.197537,0.463496
251,0.0033,0.194036,0.456401
251,0.0034,0.190630,0.447006
251,0.0035,0.187317,0.440277
251,0.0036,0.184095,0.433462
251,0.0037,0.180961,0.426875
251,0.0038,0.177917,0.420410
251,0.0039,0.174952,0.414064
251,0.0040,0.172068,0.407828
251,0.0041,0.169262,0.401779
251,0.0042,0.166532,0.395881
251,0.0043,0.163875,0.389993
251,0.0044,0.161289,0.384218
251,0.0045,0.158772,0.378530
251,0.0046,0.156321,0.372980
251,0.0047,0.153935,0.367471
251,0.0048,0.151616,0.362130
251,0.0049,0.149353,0.356901
251,0.0050,0.147148,0.351765
251,0.0051,0.144841,0.346723
251,0.0052,0.142741,0.341794
251,0.0053,0.140695,0.336939
251,0.0054,0.138700,0.332104
251,0.0055,0.136756,0.327388
251,0.0056,0.134859,0.322823
251,0.0057,0.133008,0.318346
251,0.0058,0.131203,0.313956
251,0.0059,0.129441,0.309608
251,0.0060,0.127721,0.305387
251,0.0070,0.112570,0.267478
251,0.0080,0.100429,0.236207
251,0.0090,0.090542,0.210309
251,0.0100,0.082355,0.188801
251,0.0200,0.042643,0.088636
251,0.0300,0.028640,0.056707
251,0.0400,0.021540,0.041530
251,0.0500,0.017256,0.032719
260,0.0000,0.718304,0.924182
260,0.0001,0.716913,0.952378
260,0.0002,0.712841,0.975105
260,0.0003,0.706436,0.991882
260,0.0004,0.698069,1.002893
260,0.0005,0.688096,1.008317
260,0.0006,0.676856,1.008789
260,0.0007,0.664652,1.005922
260,0.0008,0.651740,0.999779
260,0.0009,0.638339,0.991012
260,0.0010,0.624634,0.980188
260,0.0011,0.610776,0.967781
260,0.0012,0.596888,0.954179
260,0.0013,0.583069,0.939689
260,0.0014,0.569398,0.924578
260,0.0015,0.555935,0.909051
260,0.0016,0.542493,0.893268
260,0.0017,0.529537,0.877357
260,0.0018,0.516897,0.861422
260,0.0019,0.504581,0.845545
260,0.0020,0.492610,0.830676
260,0.0021,0.480991,0.815060
260,0.0022,0.469726,0.799655
260,0.0023,0.458812,0.784495
260,0.0024,0.448248,0.769747
260,0.0025,0.438038,0.755133
260,0.0026,0.428157,0.740038
260,0.0027,0.418606,0.726054
260,0.0028,0.409376,0.712380
260,0.0029,0.400458,0.699018
260,0.0030,0.391843,0.686347
260,0.0031,0.383520,0.673642
260,0.0032,0.375572,0.661249
260,0.0033,0.367807,0.649163
260,0.0034,0.360303,0.637381
260,0.0035,0.353052,0.625899
260,0.0036,0.346026,0.614708
260,0.0037,0.338985,0.603800
260,0.0038,0.332423,0.593173
260,0.0039,0.326070,0.582824
260,0.0040,0.319926,0.572744
260,0.0041,0.313984,0.562927
260,0.0042,0.308228,0.553363
260,0.0043,0.302654,0.544052
260,0.0044,0.297256,0.534984
260,0.0045,0.292027,0.526152
260,0.0046,0.286959,0.517550
260,0.0047,0.282047,0.509170
260,0.0048,0.277284,0.501008
260,0.0049,0.272665,0.493056
260,0.0050,0.268183,0.485308
260,0.0051,0.263833,0.477758
260,0.0052,0.259610,0.470400
260,0.0053,0.255509,0.463227
260,0.0054,0.251526,0.456065
260,0.0055,0.247661,0.449257
260,0.0056,0.243899,0.442619
260,0.0057,0.240242,0.436145
260,0.0058,0.236685,0.429831
260,0.0059,0.233224,0.423663
260,0.0060,0.229857,0.417654
260,0.0070,0.200616,0.364868
260,0.0080,0.177713,0.322917
260,0.0090,0.159180,0.289007
260,0.0100,0.144163,0.261166
260,0.0200,0.073608,0.130692
260,0.0300,0.049279,0.086547
260,0.0400,0.036977,0.064612
260,0.0500,0.029600,0.051526
280,0.0000,0.823679,0.537310
280,0.0001,0.821039,0.528537
280,0.0002,0.813666,0.518920
280,0.0003,0.802535,0.508450
280,0.0004,0.788563,0.497760
280,0.0005,0.772540,0.486938
280,0.0006,0.755130,0.475935
280,0.0007,0.736827,0.465145
280,0.0008,0.718042,0.454359
280,0.0009,0.699082,0.443627
280,0.0010,0.680177,0.433281
280,0.0011,0.661497,0.423085
280,0.0012,0.643167,0.412802
280,0.0013,0.624946,0.403368
280,0.0014,0.607494,0.393984
280,0.0015,0.590573,0.384955
280,0.0016,0.574209,0.376441
280,0.0017,0.558412,0.367244
280,0.0018,0.543194,0.359523
280,0.0019,0.528536,0.351568
280,0.0020,0.514448,0.343864
280,0.0021,0.500895,0.336587
280,0.0022,0.487871,0.329327
280,0.0023,0.475362,0.322399
280,0.0024,0.463348,0.315723
280,0.0025,0.451809,0.309294
280,0.0026,0.440727,0.303077
280,0.0027,0.430086,0.297045
280,0.0028,0.419862,0.291205
280,0.0029,0.410038,0.285606
280,0.0030,0.400233,0.280175
280,0.0031,0.391130,0.274923
280,0.0032,0.382477,0.269827
280,0.0033,0.374056,0.264899
280,0.0034,0.365952,0.260133
280,0.0035,0.358142,0.255508
280,0.0036,0.350627,0.251100
280,0.0037,0.343385,0.246798
280,0.0038,0.336405,0.242538
280,0.0039,0.329674,0.238456
280,0.0040,0.323181,0.234510
280,0.0041,0.316914,0.230690
280,0.0042,0.310864,0.227499
280,0.0043,0.305020,0.223898
280,0.0044,0.299382,0.220403
280,0.0045,0.293923,0.217007
280,0.0046,0.288645,0.213741
280,0.0047,0.283538,0.210504
280,0.0048,0.278596,0.207393
