Unit,bbyy Low Mass BDT tight,,,bbyy Low Mass BDT loose,,,bbyy High Mass BDT tight,,,bbyy High Mass BDT loose,,,bbtautau hadhad (Christina),,,bbtautau lephad (Jordan),,,
kl,Signal yields,Cross section,Branching ratio,Signal yields,Cross section,Branching ratio,Signal yields,Cross section,Branching ratio,Signal yields,Cross section,Branching ratio,Signal yields,Cross section,Branching ratio,SLT ggF+VBF Signal yields,LTT ggF+VBF Signal yields,Cross section,Branching ratio
-10,9.1887522,1865.54577,0.002637286,16.8403053,1865.54577,0.002637286,23.6036131,1865.54577,0.002637286,12.3043816,1865.54577,0.002637286,189.7959,1863.3784,0.0306,239.7993,65.8904,1863.3784,0.03333
-9.8,8.878534689,1805.361794,NB: yields and BR ,16.267591,1805.361794,,22.89933182,1805.361794,,11.93036655,1805.361794,,183.9276,1803.26994,,232.2763,63.8071,1803.26994,
-9.6,8.573652875,1746.172643,assume no EW corrections,15.70480226,1746.172643,,22.2058418,1746.172643,,11.5621722,1746.172643,,178.1525,1744.15496,,224.8745,61.7576,1744.15496,
-9.4,8.274106759,1687.978318,,15.15193908,1687.978318,,21.52314306,1687.978318,,11.19979856,1687.978318,,172.4709,1686.03346,,217.594,59.7419,1686.03346,
-9.2,7.979896341,1630.778818,,14.60900146,1630.778818,,20.8512356,1630.778818,,10.84324562,1630.778818,,166.8824,1628.90544,,210.4347,57.76,1628.90544,
-9,7.69102162,1574.574144,,14.0759894,1574.574144,,20.1901194,1574.574144,,10.49251338,1574.574144,,161.3872,1572.7709,,203.3966,55.8118,1572.7709,
-8.8,7.407482597,1519.364295,,13.5529029,1519.364295,,19.53979448,1519.364295,,10.14760184,1519.364295,,155.9853,1517.62984,,196.4797,53.8974,1517.62984,
-8.6,7.129279271,1465.149272,,13.03974196,1465.149272,,18.90026082,1465.149272,,9.808511009,1465.149272,,150.6766,1463.48226,,189.684,52.0169,1463.48226,
-8.4,6.856411643,1411.929075,,12.53650658,1411.929075,,18.27151844,1411.929075,,9.475240877,1411.929075,,145.4613,1410.32816,,183.0096,50.1701,1410.32816,
-8.2,6.588879713,1359.703702,,12.04319676,1359.703702,,17.65356734,1359.703702,,9.147791447,1359.703702,,140.3392,1358.16754,,176.4564,48.3569,1358.16754,
-8,6.32668348,1308.473156,,11.5598125,1308.473156,,17.0464075,1308.473156,,8.82616272,1308.473156,,135.3104,1307.0004,,170.0245,46.5777,1307.0004,
-7.8,6.069822945,1258.237435,,11.0863538,1258.237435,,16.45003894,1258.237435,,8.510354695,1258.237435,,130.375,1256.82674,,163.7138,44.8322,1256.82674,
-7.6,5.818298107,1208.99654,,10.62282066,1208.99654,,15.86446164,1208.99654,,8.200367373,1208.99654,,125.5328,1207.64656,,157.5243,43.1205,1207.64656,
-7.4,5.572108967,1160.75047,,10.16921308,1160.75047,,15.28967562,1160.75047,,7.896200753,1160.75047,,120.7838,1159.45986,,151.4561,41.4425,1159.45986,
-7.2,5.331255525,1113.499225,,9.72553106,1113.499225,,14.72568088,1113.499225,,7.597854835,1113.499225,,116.1282,1112.26664,,145.509,39.7983,1112.26664,
-7,5.09573778,1067.242807,,9.2917746,1067.242807,,14.1724774,1067.242807,,7.30532962,1067.242807,,111.5658,1066.0669,,139.6833,38.1879,1066.0669,
-6.8,4.865555733,1021.981213,,8.8679437,1021.981213,,13.6300652,1021.981213,,7.018625107,1021.981213,,107.0967,1020.86064,,133.9788,36.6113,1020.86064,
-6.6,4.640709383,977.7144457,,8.45403836,977.7144457,,13.09844426,977.7144457,,6.737741297,977.7144457,,102.721,976.64786,,128.3955,35.0684,976.64786,
-6.4,4.421198731,934.4425035,,8.05005858,934.4425035,,12.5776146,934.4425035,,6.462678189,934.4425035,,98.4384,933.42856,,122.9334,33.5594,933.42856,
-6.2,4.207023777,892.1653869,,7.65600436,892.1653869,,12.06757622,892.1653869,,6.193435783,892.1653869,,94.2492,891.20274,,117.5925,32.0841,891.20274,
-6,3.99818452,850.8830958,,7.2718757,850.8830958,,11.5683291,850.8830958,,5.93001408,850.8830958,,90.1532,849.9704,,112.3729,30.6426,849.9704,
-5.8,3.794680961,810.5956303,,6.8976726,810.5956303,,11.07987326,810.5956303,,5.672413079,810.5956303,,86.1506,809.73154,,107.2744,29.2348,809.73154,
-5.6,3.596513099,771.3029903,,6.53339506,771.3029903,,10.60220868,771.3029903,,5.420632781,771.3029903,,82.2412,770.48616,,102.2973,27.8609,770.48616,
-5.4,3.403680935,733.0051758,,6.17904308,733.0051758,,10.13533538,733.0051758,,5.174673185,733.0051758,,78.425,732.23426,,97.4414,26.5207,732.23426,
-5.2,3.216184469,695.7021869,,5.83461666,695.7021869,,9.679253356,695.7021869,,4.934534291,695.7021869,,74.7022,694.97584,,92.7066,25.2143,694.97584,
-5,3.0340237,659.3940236,,5.5001158,659.3940236,,9.2339626,659.3940236,,4.7002161,659.3940236,,71.0727,658.7109,,88.0932,23.9416,658.7109,
-4.8,2.857198629,624.0806857,,5.1755405,624.0806857,,8.799463116,624.0806857,,4.471718611,624.0806857,,67.5364,623.43944,,83.6009,22.7028,623.43944,
-4.6,2.685709255,589.7621735,,4.86089076,589.7621735,,8.375754904,589.7621735,,4.249041825,589.7621735,,64.0933,589.16146,,79.23,21.4977,589.16146,
-4.4,2.519555579,556.4384867,,4.55616658,556.4384867,,7.962837964,556.4384867,,4.032185741,556.4384867,,60.7436,555.87696,,74.9801,20.3264,555.87696,
-4.2,2.358737601,524.1096255,,4.26136796,524.1096255,,7.560712296,524.1096255,,3.821150359,524.1096255,,57.4872,523.58594,,70.8515,19.1889,523.58594,
-4,2.20325532,492.7755899,,3.9764949,492.7755899,,7.1693779,492.7755899,,3.61593568,492.7755899,,54.324,492.2884,,66.8442,18.0851,492.2884,
-3.8,2.053108737,462.4363798,,3.7015474,462.4363798,,6.788834776,462.4363798,,3.416541703,462.4363798,,51.2541,461.98434,,62.9581,17.0152,461.98434,
-3.6,1.908297851,433.0919952,,3.43652546,433.0919952,,6.419082924,433.0919952,,3.222968429,433.0919952,,48.2775,432.67376,,59.1932,15.9789,432.67376,
-3.4,1.768822663,404.7424362,,3.18142908,404.7424362,,6.060122344,404.7424362,,3.035215857,404.7424362,,45.3941,404.35666,,55.5495,14.9765,404.35666,
-3.2,1.634683173,377.3877027,,2.93625826,377.3877027,,5.711953036,377.3877027,,2.853283987,377.3877027,,42.6041,377.03304,,52.0271,14.0079,377.03304,
-3,1.50587938,351.0277948,,2.701013,351.0277948,,5.374575,351.0277948,,2.67717282,351.0277948,,39.9073,350.7029,,48.6259,13.073,350.7029,
-2.8,1.382411285,325.6627124,,2.4756933,325.6627124,,5.047988236,325.6627124,,2.506882355,325.6627124,,37.3038,325.36624,,45.346,12.1718,325.36624,
-2.6,1.264278887,301.2924555,,2.26029916,301.2924555,,4.732192744,301.2924555,,2.342412593,301.2924555,,34.7935,301.02306,,42.1872,11.3046,301.02306,
-2.4,1.151482187,277.9170242,,2.05483058,277.9170242,,4.427188524,277.9170242,,2.183763533,277.9170242,,32.3766,277.67336,,39.1497,10.471,277.67336,
-2.2,1.044021185,255.5364185,,1.85928756,255.5364185,,4.132975576,255.5364185,,2.030935175,255.5364185,,30.0528,255.31714,,36.2333,9.6712,255.31714,
-2,0.94189588,234.1506382,,1.6736701,234.1506382,,3.8495539,234.1506382,,1.88392752,234.1506382,,27.8224,233.9544,,33.4382,8.9052,233.9544,
-1.8,0.8451062728,213.7596836,,1.4979782,213.7596836,,3.576923496,213.7596836,,1.742740567,213.7596836,,25.6853,213.58514,,30.7644,8.173,213.58514,
-1.6,0.7536523632,194.3635544,,1.33221186,194.3635544,,3.315084364,194.3635544,,1.607374317,194.3635544,,23.6414,194.20936,,28.2117,7.4745,194.20936,
-1.4,0.6675341512,175.9622508,,1.17637108,175.9622508,,3.064036504,175.9622508,,1.477828769,175.9622508,,21.6908,175.82706,,25.7803,6.8099,175.82706,
-1.2,0.5867516368,158.5557728,,1.03045586,158.5557728,,2.823779916,158.5557728,,1.354103923,158.5557728,,19.8335,158.43824,,23.4702,6.179,158.43824,
-1,0.51130482,142.1441203,,0.8944662,142.1441203,,2.5943146,142.1441203,,1.23619978,142.1441203,,18.0695,142.0429,,21.2812,5.5819,142.0429,
-0.8,0.4411937008,126.7272933,,0.7684021,126.7272933,,2.375640556,126.7272933,,1.124116339,126.7272933,,16.3987,126.64104,,19.2135,5.0186,126.64104,
-0.6,0.3764182792,112.3052919,,0.65226356,112.3052919,,2.167757784,112.3052919,,1.017853601,112.3052919,,14.8212,112.23266,,17.2669,4.4891,112.23266,
-0.4,0.3169785552,98.87811599,,0.54605058,98.87811599,,1.970666284,98.87811599,,0.9174115648,98.87811599,,13.3371,98.81776,,15.4417,3.9934,98.81776,
-0.2,0.2628745288,86.44576565,,0.44976316,86.44576565,,1.784366056,86.44576565,,0.8227902312,86.44576565,,11.9462,86.39634,,13.7378,3.5315,86.39634,
0,0.2141062,75.00824085,,0.3634013,75.00824085,,1.6088571,75.00824085,,0.7339896,75.00824085,,10.6488,74.9684,,12.1552,3.1033,74.9684,
0.2,0.1706735688,64.56554159,,0.286965,64.56554159,,1.444139416,64.56554159,,0.6510096712,64.56554159,,9.4448,64.53394,,10.6939,2.7089,64.53394,
0.4,0.1325766352,55.11766788,,0.22045426,55.11766788,,1.290213004,55.11766788,,0.5738504448,55.11766788,,8.3342,55.09296,,9.354,2.3484,55.09296,
0.6,0.0998153992,46.66461971,,0.16386908,46.66461971,,1.147077864,46.66461971,,0.5025119208,46.66461971,,7.3173,46.64546,,8.1356,2.0217,46.64546,
0.8,0.0723898608,39.20639708,,0.11720946,39.20639708,,1.014733996,39.20639708,,0.4369940992,39.20639708,,6.3941,39.19144,,7.0389,1.7289,39.19144,
1,0.05030002,32.743,,0.0804754,32.743,,0.8931814,32.743,,0.37729698,32.743,,5.5675,32.7309,,6.0678,1.47099,32.7309,
1.2,0.0335458768,27.27442846,,0.0536669,27.27442846,,0.782420076,27.27442846,,0.3234205632,27.27442846,,4.8302,27.26384,,5.2112,1.2451,27.26384,
1.4,0.0221274312,22.80068246,,0.03678396,22.80068246,,0.682450024,22.80068246,,0.2753648488,22.80068246,,4.1903,22.79026,,4.4809,1.0541,22.79026,
1.6,0.0160446832,19.321762,,0.02982658,19.321762,,0.593271244,19.321762,,0.2331298368,19.321762,,3.6455,19.31016,,3.8734,0.8972,19.31016,
1.8,0.0152976328,16.83766709,,0.03279476,16.83766709,,0.514883736,16.83766709,,0.1967155272,16.83766709,,3.1963,16.82354,,3.3891,0.7744,16.82354,
2,0.01988628,15.34839771,,0.0456885,15.34839771,,0.4472875,15.34839771,,0.16612192,15.34839771,,2.8423,15.3304,,3.0277,0.6855,15.3304,
2.2,0.0298106248,14.85395389,,0.0685078,14.85395389,,0.390482536,14.85395389,,0.1413490152,14.85395389,,2.5822,14.83074,,2.7879,0.6304,14.83074,
2.4,0.0450706672,15.3543356,,0.10125266,15.3543356,,0.344468844,15.3543356,,0.1223968128,15.3543356,,2.4138,15.32456,,2.6682,0.6086,15.32456,
2.6,0.0656664072,16.84954285,,0.14392308,16.84954285,,0.309246424,16.84954285,,0.1092653128,16.84954285,,2.3354,16.81186,,2.6669,0.6201,16.81186,
2.8,0.0915978448,19.33957565,,0.19651906,19.33957565,,0.284815276,19.33957565,,0.1019545152,19.33957565,,2.3465,19.29264,,2.7836,0.6647,19.29264,
3,0.12286498,22.82443399,,0.2590406,22.82443399,,0.2711754,22.82443399,,0.10046442,22.82443399,,2.4479,22.7669,,3.0191,0.7426,22.7669,
3.2,0.1594678128,27.30411788,,0.3314877,27.30411788,,0.268326796,27.30411788,,0.1047950272,27.30411788,,2.6406,27.23464,,3.3742,0.8542,27.23464,
