parameter,xsec_obs_NP_profiled,xsec_m2s_NP_profiled,xsec_m1s_NP_profiled,xsec_exp_NP_profiled,xsec_p1s_NP_profiled,xsec_p2s_NP_profiled,channel
251,0.647129355,0.187119131,0.251207786,0.348630786,0.48519319,0.650435823,bbtautau_resolved
260,0.922058148,0.399048323,0.535723126,0.743486408,1.034718,1.38711271,bbtautau_resolved
280,0.486162549,0.45142898,0.606044253,0.84107936,1.17053913,1.56919058,bbtautau_resolved
300,0.52068493,0.350400785,0.470413714,0.652848805,0.908576654,1.21801134,bbtautau_resolved
325,0.329553362,0.251818418,0.338066701,0.469175186,0.652956117,0.875333906,bbtautau_resolved
350,0.229661293,0.18994150,0.254996826,0.353889285,0.492511498,0.660246534,bbtautau_resolved
375,0.129736955,0.118841068,0.159544358,0.221418595,0.308150623,0.413097728,bbtautau_resolved
400,0.0817742042,0.0789180790,0.105947670,0.147036125,0.204631746,0.274323344,bbtautau_resolved
450,0.0495311721,0.0367293349,0.0493092,0.06843222,0.095237847,0.127673077,bbtautau_resolved
500,0.0466471289,0.0232644051,0.0312325077,0.0433450486,0.0603237671,0.0808682809,bbtautau_resolved
550,0.0255799950,0.0180432872,0.0242231471,0.0336173291,0.0467855960,0.0627194040,bbtautau_resolved
600,0.0225895484,0.0141639075,0.0190150725,0.0263894673,0.0367265035,0.0492344783,bbtautau_resolved
700,0.025927360,0.0102759403,0.0137954692,0.0191456059,0.0266451442,0.0357197023,bbtautau_resolved
800,0.0316466885,0.00836952350,0.0112361011,0.0155936677,0.0217018739,0.0290928986,bbtautau_resolved
900,0.0324470260,0.0072969794,0.00979620862,0.0135953585,0.018920806,0.0253646796,bbtautau_resolved
1000,0.0322872936,0.00665654955,0.00893643032,0.0124021424,0.0172601940,0.0231385121,bbtautau_resolved
1100,0.0286077659,0.00733600168,0.00984859608,0.0136680628,0.0190219890,0.0255003230,bbtautau_resolved
1200,0.0250818601,0.00741076829,0.00994897040,0.0138073641,0.0192158561,0.0257602157,bbtautau_resolved
1400,0.0268481197,0.010673172,0.0143287534,0.0198857075,0.0276751516,0.0371005002,bbtautau_resolved
1600,0.0334408477,0.0158467494,0.021274291,0.0295248522,0.0410900522,0.0550841242,bbtautau_resolved
