xsec_exp_NP_profiled,xsec_p2s_NP_profiled,xsec_p1s_NP_profiled,xsec_m1s_NP_profiled,xsec_m2s_NP_profiled,xsec_obs_NP_profiled,parameter,channel
0.713257,0.617457,0.27939,0.199316,0.330434,0.850952,260,Combined
0.764844,0.662116,0.299598,0.213732,0.354333,0.739451,275,Combined
0.77205,0.668353,0.30242,0.215745,0.357671,0.845705,280,Combined
0.716556,0.620313,0.280683,0.200238,0.331962,0.86882,300,Combined
0.533328,0.461695,0.20891,0.149036,0.247077,0.564852,325,Combined
0.41087,0.355684,0.160942,0.114815,0.190345,0.418647,350,Combined
0.305096,0.264117,0.119509,0.0852574,0.141343,0.335149,400,Combined
0.169282,0.146546,0.0663097,0.0473051,0.0784242,0.181699,450,Combined
0.129149,0.111803,0.0505891,0.0360901,0.0598315,0.137673,500,Combined
0.134933,0.11681,0.0528547,0.0377063,0.0625109,0.139799,500,Combined
0.115952,0.100378,0.0454195,0.032402,0.0537174,0.0592041,550,Combined
0.0773806,0.0669874,0.0303108,0.0216236,0.0358484,0.0467275,600,Combined
0.0507854,0.0439642,0.0198932,0.0141917,0.0235276,0.033762,700,Combined
0.0385158,0.0333426,0.015087,0.010763,0.0178434,0.0528363,800,Combined
0.0302359,0.0261748,0.0118437,0.00844925,0.0140075,0.028282,900,Combined
0.0245437,0.0212471,0.00961402,0.0068586,0.0113705,0.0215547,1000,Combined
0.0296473,0.0256652,0.0116132,0.00828477,0.0137348,0.025264,1000,Combined
0.0218513,0.0189164,0.00855938,0.00610623,0.0101231,0.0325365,1100,Combined
0.0185,0.0160152,0.00724665,0.00516973,0.00857057,0.0236512,1200,Combined
0.0152834,0.0132306,0.00598667,0.00427086,0.0070804,0.0157452,1300,Combined
0.0119033,0.0103045,0.00466263,0.0033263,0.00551447,0.0102333,1400,Combined
0.0112172,0.00971059,0.0043939,0.00313459,0.00519664,0.0126219,1500,Combined
0.00966422,0.00836618,0.00378558,0.00270061,0.00447718,0.0123419,1600,Combined
0.00773759,0.00669833,0.0030309,0.00216223,0.00358462,0.00634638,1800,Combined
0.00659599,0.00571006,0.00258372,0.00184321,0.00305575,0.00665066,2000,Combined
0.0061458,0.00532033,0.00240737,0.00171741,0.00284719,0.00445974,2250,Combined
0.00617991,0.00534987,0.00242074,0.00172694,0.00286299,0.00370774,2500,Combined
0.00603032,0.00522037,0.00236214,0.00168514,0.00279369,0.0035305,2750,Combined
0.00598693,0.00518281,0.00234515,0.00167302,0.00277359,0.00460593,3000,Combined
