mH	xs_ggFH_br_H_hh
223.065	0.0003308199
224.981	0.0004297569
227.366	0.0005558919
230.118	0.0007224236
233.161	0.0009526632
236.44	0.0012925572
239.913	0.0018454153
243.547	0.0029222156
247.317	0.0061662872
251.203	1.3715082187
255.189	2.2872370515
259.26	2.6410529617
263.406	2.8135427438
267.618	2.8942247254
271.888	2.9215652605
276.209	2.9165033832
280.577	2.8906712526
284.985	2.851650597
289.431	2.8054090516
293.91	2.755239354
298.42	2.7034821017
302.957	2.6522259615
307.519	2.6029087808
312.105	2.5568525441
316.711	2.5149556766
321.337	2.4778962332
325.982	2.4470239036
330.643	2.4238043305
335.319	2.4096723185
340.01	2.4077745768
344.714	2.408377031
349.431	2.2555120734
354.159	1.9498802073
358.898	1.6787135543
363.648	1.448570629
368.407	1.2566481579
373.175	1.0959550676
377.952	0.9614007778
382.737	0.8475507802
387.529	0.7508183057
392.329	0.6681776666
397.135	0.5965713985
401.948	0.5346459199
406.767	0.4807398265
411.591	0.4332700405
416.421	0.3916069756
421.257	0.3548566886
426.097	0.3219411082
430.942	0.2928656619
435.792	0.2668887593
440.646	0.243795975
445.504	0.2229416831
450.366	0.204089603
455.232	0.1871769677
460.102	0.1718858278
464.975	0.1580400052
469.851	0.1454816459
474.73	0.1340799804
479.613	0.1237011495
484.499	0.1142388296
489.387	0.105609248
494.278	0.0977220407
499.172	0.0905092832
504.068	0.0839077759
508.967	0.0778475906
513.868	0.0722877678
518.771	0.0671691667
523.676	0.0624698745
528.584	0.0581382022
533.494	0.0541483452
538.405	0.0504651153
543.319	0.0470579043
548.234	0.0439154016
553.151	0.0410095516
558.07	0.0383167925
562.99	0.035826975
567.912	0.0335145012
572.836	0.0313655261
577.761	0.0293756741
582.688	0.0275271874
587.616	0.0258100608
592.545	0.0242096675
597.476	0.0227235828
602.408	0.021333433
607.342	0.0200428018
